vertices,x,y
31201272,116.4201576,39.9177719
31201275,116.4200322,39.9205644
31204690,116.3882619,39.9812361
31204696,116.391715,39.9809118
31204703,116.394445,39.981022
31204709,116.4011781,39.9816984
31204711,116.4039799,39.981761
31204819,116.3995911,39.9830139
31204892,116.3939967,39.9814223
31204911,116.3921462,39.9813649
31205104,116.3902216,39.9844764
31205111,116.3946725,39.9860199
31205114,116.3953726,39.9859848
31331903,116.375946,39.9475266
31331906,116.3980371,39.9477018
31331978,116.429338,39.9096974
31332092,116.420821,39.9036864
32061956,116.3934635,39.8982538
32062412,116.4004262,39.8993163
32062415,116.4054759,39.8994584
32387952,116.4108863,39.9321558
32387953,116.4195114,39.9322266
32387954,116.427141,39.932228
32387957,116.4286887,39.9322374
32388118,116.4025943,39.9319029
32388119,116.4022176,39.9394693
32388365,116.3897402,39.9387626
32615466,116.3086064,39.9311234
32615468,116.3137272,39.9311044
32615470,116.3275909,39.9311142
32615472,116.3332555,39.9311185
32615474,116.3433507,39.9310731
32615475,116.3473555,39.9310609
32615479,116.3617734,39.9311321
32615480,116.366768,39.931361
32615481,116.3706008,39.9314618
32615483,116.3738596,39.9316526
32615484,116.3767229,39.9317342
32618816,116.373703,39.9466787
32618819,116.3724976,39.9483094
32618821,116.3726378,39.9496279
32618834,116.3875497,39.9477585
32618837,116.3839776,39.9477155
32618840,116.309828,39.990832
32618842,116.326695,39.991455
32618866,116.3733343,39.9600558
32618883,116.3674038,39.9858095
32618885,116.3660573,39.9859732
32877189,116.4194138,39.9395643
32877193,116.4269228,39.9396016
32877196,116.4191892,39.9480266
32877217,116.455888,39.9400348
32877275,116.466617,39.9324698
32877279,116.4558406,39.9323044
32899013,116.4028883,39.9258827
32899017,116.449288,39.9399723
33399858,116.4559674,39.9122122
34710869,116.4559045,39.9457205
34928517,116.468777,39.9667626
34928522,116.4731405,39.9706832
34928634,116.4835284,39.9486397
34928733,116.4753841,39.9766775
35286274,116.4558308,39.9274554
35549717,116.4610619,39.9324533
35549783,116.4608498,39.9280488
35551151,116.4313674,39.9255377
35551152,116.4345463,39.9255603
35551154,116.4375595,39.925585
35551155,116.4398707,39.9255822
35551157,116.44425,39.9255997
35551198,116.4399335,39.9219408
35551808,116.4442705,39.9322818
35552053,116.4443301,39.9399381
35552056,116.4443437,39.9443334
35552059,116.4440395,39.9461968
35552318,116.4703965,39.9527729
35552319,116.4676898,39.951871
35552320,116.4651529,39.9510556
35552322,116.4558862,39.9480762
35552324,116.4493104,39.9469533
35552589,116.4597808,39.9586053
35553136,116.4559093,39.9425347
