vertex_1,vertex_2,length,haversine
35722739,1802595146,10.772,0.010772482150907293
35722739,35722741,261.72999999999996,0.2616511457482439
35722741,1634975425,8.865,0.008864626166192428
35722741,1802595151,11.754,0.011753694386154818
35722741,35553581,720.558,0.7194463021206933
35835325,1351272767,75.719,0.07571929996621755
35835420,36704414,72.36,0.07236020814325977
35835420,1351272695,760.415,0.7604134791923105
35835426,1351272723,1456.133,1.456101381514668
35835428,1351023249,55.702,0.05570216827066547
35835428,35835426,139.73399999999998,0.13945989221108954
35835567,35835568,16.157,0.01615742546672538
35835568,35835570,40.873,0.04087301233787913
35835568,35835569,67.85,0.06785032433122465
35835569,1351023309,651.689,0.6448842210723261
35835569,31194237,973.817,0.8937998575344918
35835570,35835571,34.703,0.03470337693731515
35835571,1269994874,242.507,0.24250763202877568
35835571,2299888908,159.699,0.1594281925684282
35835582,746964200,164.941,0.16494095545099155
35835582,1842188217,178.816,0.17881568089269054
35835582,262259869,338.938,0.3389249843171571
35835744,35555615,13.163,0.013162883708687071
35835744,1634975461,263.337,0.26333488522273657
35835744,5873191061,174.5,0.17437249246382028
35835749,36551783,59.304,0.059303672505586554
35835749,1870692189,28.29,0.028290084333060746
35835807,746507241,67.42,0.06741960033939573
35835807,64603903,1097.426,1.097395697552621
35835843,1351023572,294.633,0.29463326934676237
35835843,8066838213,58.768,0.05874658028120986
35835852,36544039,481.803,0.4809304900816617
35836100,1351024311,376.19500000000005,0.3761754252148934
35836100,31194315,2322.804,2.3228005637814024
35856376,35856377,272.58,0.27257965429558934
35856376,321208190,206.344,0.20621350780180597
35856377,8066838223,424.28000000000003,0.42412748833916547
35856377,1634491584,100.053,0.0999826563088357
35856924,4677168477,26.839,0.026838891869918488
35856924,4605155966,75.439,0.0754389156209458
35856925,1598669876,159.721,0.15972089245101875
35857532,320828982,503.627,0.5033844348125407
35857542,1765225568,73.544,0.07354395718342763
35857542,35857547,665.517,0.6655171300051435
35857547,35857550,498.02799999999996,0.4980279702948508
35857550,1765233091,73.04,0.07303986863880679
35857550,35858257,840.804,0.8284053645569667
35858257,289122347,197.089,0.1965930640929196
35858257,1765245311,397.481,0.39682000539445683
35858266,35858274,519.871,0.5151125653550241
35858274,1230291513,86.357,0.086356550202927
35858274,7785619946,583.921,0.583851535167335
35859802,1230361047,576.549,0.5765478203985062
35860242,1230361291,562.36,0.5623594892479437
35860251,35860252,38.39,0.03838961005876232
35860252,534246661,101.113,0.10111293992858889
35860252,1869694478,1147.9219999999998,1.1390250071898531
35860890,296816687,1255.983,1.2509986005454758
35860899,296953359,41.323,0.041322642157759805
35860899,35861493,229.346,0.2293460677163702
35861493,1771699820,137.673,0.1371429445633482
35861493,35861498,720.141,0.7183365799774988
35861498,1771676520,308.759,0.30875945716095204
35862224,321421415,123.973,0.12394604867253077
35862224,35862230,943.8240000000001,0.9436096956454157
35862230,1670551526,192.662,0.19266229739458984
35862246,2047656164,1431.978,1.414160902443296
35862527,1293134703,310.622,0.31062043987344423
35863261,2558713931,8.607,0.008607394561031004
35863261,586468682,14.187,0.014187213762259707
35864175,292592675,26.41,0.02640963353351324
35864448,3016153365,117.66999999999999,0.11760925286212977
35864450,1421587211,52.197,0.05219731610789267
35864450,1870668782,547.765,0.5477629690462323
35866207,1676505370,96.93,0.09693038140737958
35866207,296953562,417.204,0.4169537516966238
35866357,325028583,84.106,0.08410646274838182
35866357,35866359,882.1210000000001,0.881874455187368
35866359,35862224,419.554,0.41955424554430437
35867274,35867281,769.6600000000001,0.7696602513034679
35867281,321855444,75.936,0.07593595436232513
35867281,1634302173,238.18900000000002,0.23818872759447007
35867290,77331934,354.01500000000004,0.3459074980952651
35867290,533605608,677.3720000000001,0.6740073005073169
35867305,533592888,221.02,0.2210198556509666
35867598,1359329135,100.373,0.10037256943434035
35867598,1359329061,1051.988,1.0518562907668512
35868032,1765144966,115.08600000000001,0.11508547913454034
35868040,1634274090,175.878,0.17587753422520006
35868883,294118747,371.51800000000003,0.37099375040992305
35868883,1362305663,1052.5539999999999,1.034994442167527
35868901,1745111624,1138.364,1.136679413920553
35869360,1361129395,81.282,0.08128238037718216
35869360,1571464649,1046.854,1.046844942611182
35869368,604705707,127.389,0.1273893341799563
35869956,1686006010,161.822,0.16182166805453155
35869958,321415411,216.349,0.2163486549907423
35869960,337495817,169.837,0.16949196480568365
35869960,35869965,866.7710000000001,0.8667587836486708
35869965,1410708937,442.655,0.4406755638166596
35869971,35869977,677.3820000000001,0.6745423514014489
35869977,332949006,64.837,0.06483667400875077
35869977,1833354320,488.874,0.4843658049377527
35870320,1835274650,19.261,0.019260521737360883
35870323,35870328,467.178,0.4671730680389744
35870328,1835274662,623.9449999999999,0.6239451728177203
35870348,1634899833,30.892,0.0308920472513443
35870348,35870747,134.083,0.13404179958402693
35870747,1634899836,618.332,0.6183297894120053
35870751,1634899837,303.668,0.30366839466072854
35870774,528902445,91.169,0.09116886378963614
35870774,35870781,507.384,0.5014015470956774
35870781,35870782,132.3,0.132300015322036
35870782,253123419,311.859,0.2987611576532162
35870782,35871119,442.901,0.44290051547098985
35871119,1634854056,55.395,0.05539452634437712
35871124,1634854075,89.105,0.0891044978112279
35871124,1423628474,686.287,0.6808024193885771
35871130,1423628477,61.761,0.06176064020144845
35871130,35871132,607.658,0.6076574188172166
35871132,273089459,84.824,0.08482356291755476
35874511,5908910497,5.233,0.0052330336788569765
35874511,748757976,11.94,0.01193952543646888
36380666,1807827948,136.239,0.13619433739654252
36380666,2423797937,903.6589999999999,0.9036144232795902
36544039,34928634,57.162,0.057162175966909055
36544039,35835807,1062.046,1.0620464544665913
36551783,1634975462,14.789,0.014788967792218404
36551783,244888915,625.5709999999999,0.6255713770703978
36704260,2417492454,58.48,0.05848028396228649
36704260,1859897269,43.1,0.04310005089519709
36704368,1351272734,217.311,0.21731124295344223
36704368,82972304,73.397,0.0733967710962538
36704414,534076879,20.084,0.02008404856436106
36704472,1842187344,172.948,0.17294752020034526
36704472,1351272736,71.77600000000001,0.07177660708644966
36704579,1765106512,25.133,0.025132728511422852
36704579,1859897271,81.205,0.08120458634766915
36704581,2199135939,103.01599999999999,0.10301469068466282
36704808,1840733226,535.163,0.5348853933980011
36704808,1859897269,64.72800000000001,0.06472764717869925
36704810,345589071,19.293,0.019292957140566072
36704810,1317216453,321.63800000000003,0.3216350244309987
36704814,317991809,53.385,0.05338533796970646
36704814,36704815,68.91499999999999,0.06891477324661757
36704815,1634403551,13.189,0.013189195294201334
