n,cost,run_time
510,0.210168,4.84e-06
511,0.21031,5.14e-06
512,0.210533,5.16e-06
513,0.210833,5.17e-06
514,0.210833,5.869e-06
515,0.210975,5.15e-06
516,0.211422,4.8e-06
517,0.211783,4.84e-06
518,0.211783,5.01e-06
519,0.211883,5.44e-06
520,0.211983,5.77e-06
521,0.212183,5.07e-06
522,0.212543,4.78e-06
523,0.212826,5.1e-06
524,0.213026,4.78e-06
525,0.213026,5.11e-06
526,0.213609,5.17e-06
527,0.213709,4.999e-06
528,0.214631,5.15e-06
529,0.218439,4.76e-06
530,0.2188,5.119e-06
531,0.219383,4.82e-06
532,0.219606,6.15e-06
533,0.219606,5.2e-06
534,0.220106,4.95e-06
535,0.220467,5.16e-06
536,0.220867,4.809e-06
537,0.221971,4.77e-06
538,0.222071,5.27e-06
539,0.222213,5.209e-06
540,0.222513,5.39e-06
541,0.222513,4.96e-06
542,0.223096,4.88e-06
543,0.223319,4.74e-06
544,0.223319,5.03e-06
545,0.223419,4.88e-06
546,0.223844,4.98e-06
547,0.224256,4.771e-06
548,0.225601,4.77e-06
549,0.226167,4.789e-06
550,0.226167,4.76e-06
551,0.226483,5.02e-06
552,0.227338,5.69e-06
553,0.227338,4.879e-06
554,0.227338,5.07e-06
555,0.227838,5e-06
556,0.227938,5.65e-06
557,0.228161,5.51e-06
558,0.228461,5.25e-06
559,0.228822,5.109e-06
560,0.229765,4.94e-06
561,0.229907,4.529e-06
562,0.23013,4.91e-06
563,0.23053,5.099e-06
564,0.230943,5.81e-06
565,0.230943,5e-06
566,0.231043,6.96e-06
567,0.232043,4.92e-06
568,0.23249,4.98e-06
569,0.232631,5.05e-06
570,0.232831,5.479e-06
571,0.232973,4.87e-06
572,0.233333,4.94e-06
573,0.233649,4.95e-06
574,0.233649,4.82e-06
575,0.23401,5.06e-06
576,0.23411,5.01e-06
577,0.23411,5.25e-06
578,0.234831,5.04e-06
579,0.236752,5.089e-06
580,0.236852,8.47e-06
581,0.237052,5.37e-06
582,0.237552,4.92e-06
583,0.237652,5.33e-06
584,0.237793,5.08e-06
585,0.238093,5.211e-06
586,0.238193,5.38e-06
587,0.239275,5.38e-06
588,0.239775,4.69e-06
589,0.239775,4.89e-06
590,0.239875,5.03e-06
591,0.240175,5.199e-06
592,0.240783,5.11e-06
593,0.241283,4.92e-06
594,0.241731,5.3e-06
595,0.242269,5.65e-06
596,0.242369,5.11e-06
597,0.242781,4.87e-06
598,0.242881,5.17e-06
599,0.243514,5.16e-06
600,0.243926,5.12e-06
601,0.244287,5.68e-06
602,0.245147,5.17e-06
603,0.245463,5.12e-06
604,0.245963,5.18e-06
605,0.246376,5.24e-06
606,0.246658,5.88e-06
607,0.248158,5.01e-06
608,0.248382,5.04e-06
609,0.248698,6.48e-06
610,0.248898,5.329e-06
611,0.250647,5.949e-06
612,0.251596,5e-06
613,0.252267,4.78e-06
614,0.252679,5.11e-06
615,0.253218,5.12e-06
616,0.253218,5.299e-06
617,0.253501,4.87e-06
618,0.254084,5.04e-06
619,0.254496,5.3e-06
620,0.255496,5.31e-06
621,0.257172,7.82e-06
622,0.257272,5.32e-06
623,0.257881,6.58e-06
624,0.258241,5.08e-06
625,0.258557,5.32e-06
626,0.259166,5.02e-06
627,0.259482,5.06e-06
628,0.259682,5.08e-06
629,0.261462,5.57e-06
630,0.261862,5.03e-06
631,0.262086,5.149e-06
632,0.262586,5.131e-06
633,0.263033,5.299e-06
634,0.263457,5.18e-06
635,0.264179,5.129e-06
636,0.264717,5.129e-06
637,0.264859,5.14e-06
638,0.265566,6.51e-06
639,0.265666,5.14e-06
640,0.266806,4.97e-06
641,0.267166,5.08e-06
642,0.267579,5e-06
643,0.267991,5.52e-06
644,0.269073,5.1e-06
645,0.269583,5.17e-06
646,0.269865,4.6e-06
647,0.270007,5.02e-06
648,0.270323,4.84e-06
649,0.271148,5.329e-06
650,0.271248,5.16e-06
651,0.272348,5.9e-06
652,0.272931,7.09e-06
653,0.273539,5.33e-06
654,0.273822,5.16e-06
655,0.274405,4.78e-06
656,0.274605,5.27e-06
657,0.275105,5.09e-06
658,0.275329,4.76e-06
659,0.275741,5.839e-06
660,0.275941,5.311e-06
661,0.276241,4.939e-06
662,0.276464,5.57e-06
663,0.277192,5.46e-06
664,0.277292,5.63e-06
665,0.277392,5.41e-06
666,0.277675,6.629e-06
667,0.279839,5.12e-06
668,0.280062,4.8e-06
669,0.281408,5.47e-06
670,0.281508,5.13e-06
671,0.282091,5.799e-06
672,0.282503,5.029e-06
673,0.283069,5.43e-06
674,0.283579,5.62e-06
675,0.28372,5.09e-06
676,0.28402,5.05e-06
677,0.284748,5.06e-06
678,0.285248,5.66e-06
679,0.285472,5.43e-06
680,0.285613,6.519e-06
681,0.285613,5.61e-06
682,0.286013,5.26e-06
683,0.286155,5.23e-06
684,0.286602,5.039e-06
685,0.28901,7.18e-06
686,0.290713,5.53e-06
687,0.291818,5.11e-06
688,0.29223,4.649e-06
689,0.292519,1.061e-05
690,0.292519,5.73e-06
691,0.292519,5.24e-06
692,0.292619,5.35e-06
693,0.293119,5.13e-06
694,0.293119,5.31e-06
695,0.294561,7.68e-06
696,0.296724,5.7e-06
697,0.297505,5.72e-06
698,0.297505,5.42e-06
699,0.297929,5.529e-06
700,0.298029,5.72e-06
701,0.298029,5.48e-06
702,0.298253,5.23e-06
703,0.298753,5.25e-06
704,0.298872,1.0389e-05
705,0.299319,5.34e-06
706,0.299419,5.39e-06
707,0.29978,5.28e-06
708,0.30014,5.25e-06
709,0.30024,6.24e-06
710,0.30074,5.15e-06
711,0.30074,5.449e-06
712,0.30124,5.33e-06
713,0.30414,4.911e-06
714,0.304781,5.29e-06
715,0.305063,4.829e-06
716,0.305163,5.48e-06
717,0.305387,5.83e-06
718,0.306336,5.52e-06
719,0.306436,5.69e-06
720,0.306577,5.67e-06
721,0.306777,5.449e-06
722,0.306777,5.3e-06
723,0.307417,7.1e-06
724,0.3077,6.1e-06
725,0.3077,5.12e-06
726,0.3084,5.24e-06
727,0.308624,5.54e-06
728,0.308724,5.31e-06
729,0.309332,5.27e-06
730,0.309632,5.13e-06
731,0.30965,1.049e-05
732,0.30965,5.29e-06
733,0.31025,5.4e-06
734,0.310611,6.01e-06
735,0.310611,5.29e-06
736,0.310711,5.28e-06
737,0.311071,5.39e-06
738,0.311071,6.36e-06
739,0.311483,5.89e-06
740,0.312688,5.33e-06
741,0.312788,5.179e-06
742,0.312929,5.25e-06
743,0.314718,5.65e-06
744,0.314918,4.939e-06
745,0.316183,5.01e-06
746,0.316283,5.54e-06
747,0.316383,5.3e-06
748,0.316483,5.56e-06
749,0.318809,9.7e-06
750,0.32023,5.669e-06
751,0.32043,5.15e-06
752,0.320968,6.89e-06
753,0.321068,5.28e-06
754,0.322672,5.46e-06
755,0.323119,5.43e-06
756,0.323519,5.4e-06
757,0.324509,5.35e-06
758,0.324709,5.531e-06
759,0.324992,5.74e-06
760,0.325215,5.46e-06
761,0.325439,5.52e-06
762,0.326429,5.969e-06
763,0.328149,6e-06
764,0.328149,5.5e-06
765,0.328465,4.91e-06
766,0.328826,5.28e-06
767,0.329409,5.949e-06
768,0.33008,5.299e-06
769,0.330304,5.29e-06
770,0.330404,5.41e-06
771,0.330851,5.35e-06
772,0.330951,5.45e-06
773,0.331174,5.38e-06
774,0.331374,5.759e-06
775,0.331874,5.34e-06
776,0.332174,5.68e-06
777,0.332398,5.19e-06
778,0.333204,5.91e-06
779,0.333617,5.66e-06
780,0.333899,5.759e-06
781,0.334041,7.089e-06
782,0.334241,5.371e-06
783,0.334241,5.25e-06
784,0.334688,5.66e-06
785,0.335227,6.46e-06
786,0.337733,1.47e-05
787,0.338763,5.54e-06
788,0.340642,7.55e-06
789,0.340842,5.27e-06
790,0.340942,5.62e-06
791,0.341042,5.4e-06
792,0.343385,7.85e-06
793,0.343667,5.58e-06
794,0.343767,5.63e-06
795,0.343967,7.02e-06
796,0.344916,6.48e-06
797,0.346625,7.94e-06
798,0.348818,7.95e-06
799,0.348918,5.43e-06
800,0.34906,5.47e-06
801,0.34942,5.6e-06
802,0.35532,5.15e-06
803,0.355636,5.61e-06
804,0.356443,5.82e-06
805,0.356543,5.479e-06
806,0.356643,5.66e-06
807,0.356743,5.369e-06
808,0.356843,5.55e-06
809,0.357483,6.5e-06
810,0.365093,5.15e-06
811,0.36541,5.35e-06
812,0.36601,5.81e-06
813,0.366932,5.65e-06
814,0.367155,6.069e-06
815,0.367455,5.84e-06
816,0.367655,5.5e-06
817,0.367755,5.75e-06
818,0.367979,5.73e-06
819,0.368339,5.4e-06
820,0.368439,5.75e-06
821,0.370186,8.57e-06
822,0.370486,5.52e-06
823,0.371126,5.64e-06
824,0.371126,7.21e-06
825,0.371226,5.4e-06
826,0.371226,5.96e-06
827,0.372032,5.45e-06
828,0.372315,5.8e-06
829,0.372539,5.38e-06
830,0.374882,9.31e-06
831,0.375023,5.52e-06
832,0.375967,5.67e-06
833,0.37619,5.16e-06
834,0.376615,5.29e-06
835,0.377343,5.991e-06
836,0.378197,6.1e-06
837,0.378763,5.44e-06
838,0.378904,5.56e-06
839,0.379128,5.591e-06
840,0.379228,5.14e-06
841,0.379451,5.6e-06
842,0.379451,5.21e-06
843,0.380017,5.871e-06
844,0.380378,6.27e-06
845,0.380694,5.49e-06
846,0.380794,5.3e-06
847,0.380894,5.43e-06
848,0.381035,5.35e-06
849,0.381177,5.329e-06
850,0.381277,5.62e-06
851,0.381418,5.26e-06
852,0.381618,5.8e-06
853,0.381718,6.87e-06
854,0.382001,5.25e-06
855,0.382317,5.33e-06
856,0.382417,5.52e-06
857,0.382717,5.52e-06
858,0.382858,5.46e-06
859,0.383082,5.65e-06
860,0.383082,5.85e-06
861,0.383582,5.66e-06
862,0.383806,5.549e-06
863,0.385361,6.16e-06
864,0.385644,5.06e-06
865,0.386277,5.61e-06
866,0.386593,5.59e-06
867,0.387656,7.22e-06
868,0.387756,5.45e-06
869,0.388072,5.53e-06
870,0.388433,5.74e-06
871,0.388433,5.46e-06
872,0.389065,5.6e-06
873,0.389207,5.81e-06
874,0.389567,5.53e-06
875,0.389791,5.38e-06
876,0.389991,5.35e-06
877,0.390291,5.26e-06
878,0.390899,5.65e-06
879,0.390899,5.6e-06
880,0.390999,5.409e-06
881,0.391607,7.92e-06
882,0.391968,5.47e-06
883,0.392284,5.8e-06
884,0.392384,5.51e-06
885,0.392384,5.28e-06
886,0.393914,5.62e-06
887,0.394014,5.46e-06
888,0.395234,5.35e-06
889,0.395376,6.01e-06
890,0.396137,5.26e-06
891,0.396703,5.359e-06
892,0.396844,5.98e-06
893,0.396944,5.32e-06
894,0.397261,5.871e-06
895,0.397708,8.17e-06
896,0.400744,5.791e-06
897,0.401774,7.55e-06
898,0.401974,7.15e-06
899,0.402386,5.64e-06
900,0.402702,5.41e-06
901,0.402985,5.1e-06
902,0.402985,5.509e-06
903,0.403713,4.9e-06
904,0.404213,5.97e-06
905,0.405243,5.19e-06
906,0.405467,5.35e-06
907,0.405783,6.43e-06
908,0.405883,5.22e-06
909,0.406199,5.12e-06
910,0.40634,7.44e-06
911,0.406482,5.42e-06
912,0.406782,5.31e-06
913,0.406923,5.01e-06
914,0.407462,5.149e-06
915,0.407662,5.22e-06
916,0.407662,5.46e-06
917,0.407885,5.55e-06
918,0.408829,5.2e-06
919,0.409536,6.65e-06
920,0.412132,5.72e-06
921,0.412232,5.12e-06
922,0.412332,5.51e-06
923,0.412532,5.13e-06
924,0.41314,7.76e-06
925,0.413501,5.711e-06
926,0.413784,5.32e-06
927,0.413884,5.18e-06
928,0.414025,5.31e-06
929,0.415869,5.12e-06
930,0.415869,5.34e-06
931,0.416069,5.779e-06
932,0.416385,5.48e-06
933,0.416485,5.171e-06
934,0.416585,5.37e-06
935,0.416809,5.79e-06
936,0.417032,5.04e-06
937,0.417532,5.58e-06
938,0.417532,6.01e-06
939,0.417893,7.14e-06
940,0.417993,5.69e-06
941,0.418134,5.87e-06
942,0.418134,5.56e-06
943,0.418417,5.22e-06
944,0.41883,6.07e-06
945,0.420067,5.15e-06
946,0.420349,5.31e-06
947,0.420491,1.387e-05
948,0.421001,5.26e-06
949,0.421317,5.39e-06
950,0.4219,5.72e-06
951,0.422607,5.25e-06
952,0.423215,5.08e-06
953,0.423315,8.17e-06
954,0.423632,5.36e-06
955,0.424432,4.96e-06
956,0.425572,6.12e-06
957,0.425572,5.9e-06
958,0.426243,5.989e-06
959,0.427148,5.16e-06
960,0.42807,5.46e-06
961,0.42857,5.57e-06
962,0.428931,5.46e-06
963,0.430373,5.18e-06
964,0.430514,5.43e-06
965,0.430714,4.97e-06
966,0.431214,5.2e-06
967,0.431314,5.52e-06
968,0.431538,7.97e-06
969,0.431762,5.24e-06
970,0.432662,5.62e-06
971,0.433162,5.74e-06
972,0.433162,5.24e-06
973,0.433385,5.3e-06
974,0.433385,5.7e-06
975,0.434307,5.96e-06
976,0.434807,5.269e-06
977,0.435007,5.86e-06
978,0.435107,5.88e-06
979,0.435607,6.11e-06
980,0.436117,5.4e-06
